"자치구별(1)",자치구별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,가정용,공공용,서비스업,서비스업,서비스업,서비스업,서비스업,산업용,산업용,산업용,산업용,소계,가정용,공공용,서비스업,서비스업,서비스업,서비스업,서비스업,산업용,산업용,산업용,산업용,소계,가정용,공공용,서비스업,서비스업,서비스업,서비스업,서비스업,산업용,산업용,산업용,산업용,소계,가정용,공공용,서비스업,서비스업,서비스업,서비스업,서비스업,산업용,산업용,산업용,산업용,소계,가정용,공공용,서비스업,서비스업,서비스업,서비스업,서비스업,산업용,산업용,산업용,산업용,소계,가정용,공공용,서비스업,서비스업,서비스업,서비스업,서비스업,산업용,산업용,산업용,산업용
"자치구별(1)",자치구별(2),소계,소계,소계,소계,전철,수도,사업자용,순수서비스,소계,농립어업,광업,제조업,소계,소계,소계,소계,전철,수도,사업자용,순수서비스,소계,농립어업,광업,제조업,소계,소계,소계,소계,전철,수도,사업자용,순수서비스,소계,농립어업,광업,제조업,소계,소계,소계,소계,전철,수도,사업자용,순수서비스,소계,농립어업,광업,제조업,소계,소계,소계,소계,전철,수도,사업자용,순수서비스,소계,농립어업,광업,제조업,소계,소계,소계,소계,전철,수도,사업자용,순수서비스,소계,농립어업,광업,제조업
"서울시",소계,47167206,13499067,3697300,28340647,1528759,667943,102226,26041719,1630192,15194,2067,1612931,45787926,13982706,3432232,26876703,1465165,644252,96884,24670403,1496285,14757,1946,1479582,47295805,14656127,3575378,27548557,1452140,619717,104449,25372251,1515743,19189,1902,1494652,48788677,14550103,3731551,29024818,1474324,601953,111906,26836636,1482206,19956,2004,1460246,49218956,14692966,3801000,29332513,1472738,594450,112346,27152979,1392476,19802,1932,1370743,50351994,15336443,3830364,29872111,1475292,598450,113696,27684673,1313076,19758,1877,1291442
"서울시",종로구,1746554,252182,193563,1228262,-,2666,2343,1223254,72547,70,558,71919,1651884,254672,177534,1154728,-,2306,2068,1150353,64951,79,549,64323,1672745,260718,180266,1164044,-,1971,2279,1159793,67718,98,568,67052,1721240,257164,173990,1221277,-,1768,2411,1217098,68809,113,675,68021,1748470,258737,168475,1255444,-,1783,2391,1251270,65813,105,652,65056,1761733,266722,169261,1265613,-,1748,2540,1261325,60136,118,619,59399
"서울시",중구,2460734,198995,109022,1933143,-,275,11429,1921439,219574,31,164,219379,2238660,201355,98835,1736953,-,324,11227,1725401,201517,27,150,201341,2236585,210833,107788,1713014,2,375,11486,1701150,204950,21,137,204791,2305200,211512,112082,1777475,2,351,12877,1764245,204131,27,133,203971,2355979,218223,112643,1830587,2,340,13148,1817097,194527,26,113,194388,2403324,230236,113963,1875963,2,338,13476,1862146,183163,69,119,182976
"서울시",용산구,1401975,396300,296811,689707,6388,6096,835,676388,19157,40,-,19117,1333728,410813,260794,645763,6236,6487,876,632164,16359,32,-,16327,1419641,433023,263950,705449,5883,6832,1186,691548,17220,851,-,16369,1514990,423938,269875,804402,5841,6692,1434,790436,16776,288,-,16487,1588136,422519,258521,891506,6171,6529,1240,877566,15590,26,-,15564,1653099,427366,253527,958449,6423,6417,1122,944486,13758,24,-,13734
"서울시",성동구,2177900,433693,331355,1175037,202804,58763,3717,909753,237815,371,261,237183,2123324,438612,322054,1140699,195140,54996,4020,886543,221958,520,292,221146,2205750,456516,330652,1192276,196271,56389,4322,935295,226306,544,280,225482,2235050,448781,333346,1233054,197998,57023,4460,973572,219869,496,293,219080,2246912,451537,342214,1249502,199554,59713,4527,985708,203660,471,296,202892,2268679,467456,347921,1259778,199877,57168,4573,998160,193523,412,280,192832
"서울시",광진구,1633402,463147,102439,1034436,307566,61833,3625,661412,33380,275,70,33035,1556879,474982,90506,961207,281858,61048,3706,614595,30184,408,63,29713,1575911,496781,96449,952186,269307,61363,4119,617397,30495,463,55,29977,1616001,493741,103795,988239,271851,55929,4024,656434,30226,422,46,29758,1625453,500617,105591,990604,271110,53109,3905,662481,28640,477,48,28115,1655963,520801,107549,1000761,267908,57674,3798,671381,26852,532,76,26244
"서울시",동대문구,1428686,493434,132432,724097,62484,9064,2063,650486,78723,316,54,78353,1381722,506923,118465,684440,58318,9533,2242,614347,71894,279,48,71567,1425539,531366,124821,693047,58053,9617,2389,622987,76305,282,45,75978,1457689,532902,134432,713780,58512,9412,2482,643374,76576,275,50,76250,1488755,551311,138188,730237,56076,9127,2411,662623,69019,328,47,68643,1540193,585493,142889,748664,57426,8761,2573,679904,63146,537,49,62561
"서울시",중랑구,1104107,505423,39733,500313,1824,5704,2254,490531,58638,419,37,58182,1091216,524380,34435,478330,1690,5996,2098,468545,54072,427,35,53610,1132144,550345,38416,487469,1745,6152,2353,477220,55914,498,36,55381,1161372,548611,43805,512667,1802,6150,2680,502036,56289,493,34,55762,1174563,553401,44735,523226,1771,5971,2509,512974,53202,453,32,52717,1203221,577472,43347,532355,1835,5976,2758,521786,50046,472,28,49547
"서울시",성북구,1444405,591489,222545,581989,-,17401,1453,563135,48383,194,12,48177,1410829,612729,206376,547118,-,18211,1646,527261,44607,177,5,44425,1465548,641458,220886,557680,-,19149,1703,536828,45525,186,-,45338,1497475,636616,236459,579174,-,18892,1870,558411,45226,190,-,45036,1515604,639454,243021,589834,-,18278,1876,569681,43295,188,-,43107,1552131,662741,247483,602180,-,17770,2021,582389,39728,168,-,39561
"서울시",강북구,916167,394707,54477,431761,-,7436,956,423369,35222,150,7,35066,895091,404762,48813,409569,-,7421,947,401201,31946,145,4,31797,912356,417207,53075,409423,-,7548,1039,400836,32651,202,5,32444,933057,411074,56941,431616,-,7550,1128,422938,33426,213,5,33209,936421,410306,59784,434686,-,7600,1158,425928,31644,177,5,31462,945864,421922,60588,434360,-,7579,1110,425671,28995,161,4,28829
"서울시",도봉구,882388,421539,52607,360990,-,6213,1463,353313,47253,373,-,46880,862157,429980,45508,344988,-,6394,1693,336901,41681,405,-,41276,882865,442014,49840,347720,-,6421,2010,339288,43291,437,-,42854,894641,434904,53958,362801,-,6380,2242,354179,42978,405,-,42573,899017,436140,55457,366253,-,6170,2028,358056,41167,448,-,40718,923413,453756,54142,377271,-,6126,1799,369346,38244,440,-,37804
"서울시",노원구,1507251,667527,164020,640633,-,14157,4483,621993,35071,372,-,34699,1467184,685861,143758,604575,-,14480,4184,585912,32989,430,-,32560,1507036,703248,158176,611567,-,14304,4886,592377,34046,426,-,33620,1540077,692915,168961,644311,-,13802,5317,625191,33890,484,-,33406,1545929,690035,176414,647735,-,13565,5371,628799,31745,547,-,31198,1569191,708835,174471,656676,-,13685,5543,637447,29208,457,-,28751
"서울시",은평구,1427730,622160,83162,707613,135973,9681,2271,559689,14795,282,24,14489,1416968,646703,76649,680168,136922,10176,2340,530729,13449,339,20,13089,1471828,683291,83988,690871,137250,10469,2573,540579,13677,395,19,13263,1505392,681011,88982,721931,141382,10643,2380,567526,13468,445,16,13006,1515297,686226,88898,727234,144803,10791,2298,569341,12940,443,15,12482,1563435,714644,88865,747264,149799,10936,2600,583928,12662,369,13,12280
"서울시",서대문구,1253576,427837,301099,507859,-,12045,283,495532,16780,75,6,16700,1211835,447375,279238,469882,-,12519,491,456872,15340,140,5,15195,1246579,465894,227578,538062,-,12681,1057,524324,15046,187,3,14856,1297535,469299,226150,586991,-,12716,1194,573081,15095,148,1,14946,1326185,474684,235855,601182,-,13107,1151,586924,14464,139,-,14325,1354278,488335,236564,615695,-,13222,1168,601305,13684,167,-,13517
"서울시",마포구,2167127,565056,141287,1436397,14409,9491,12382,1400114,24387,219,5,24164,2083574,579167,129809,1353339,13835,11358,6714,1321432,21259,193,5,21061,2143148,609226,134351,1378787,14218,13438,5788,1345343,20784,262,1,20520,2265953,608274,139238,1498065,14391,13454,5971,1464250,20376,290,-,20086,2290148,614345,141422,1515114,14603,13658,5890,1480964,19267,381,-,18886,2355774,635227,142759,1560231,15394,13538,5934,1525367,17556,574,-,16982
"서울시",양천구,1672962,622916,65011,965453,-,7594,2832,955026,19581,215,149,19217,1696749,643661,56734,979135,-,7969,2953,968213,17220,249,162,16809,1791959,675081,62140,1037207,-,8209,3161,1025838,17531,347,154,17030,1797687,662156,68967,1049619,-,8036,3513,1038070,16946,307,152,16486,1767709,660267,69512,1021898,-,7744,3424,1010729,16032,265,123,15644,1771271,681774,68192,1006551,-,7623,3262,995666,14754,268,117,14369
"서울시",강서구,2558240,804598,256948,1439835,33828,5309,3599,1397100,56858,2818,91,53949,2548401,824395,270675,1405509,33866,5998,3720,1361924,47821,1442,60,46320,2673238,864136,292911,1469299,36425,6671,3926,1422276,46892,1436,53,45404,2752727,857938,294151,1553294,37186,6559,4263,1505286,47344,1670,45,45629,2844801,861743,312118,1621623,40242,6455,4358,1570567,49317,2220,46,47051,2923381,892225,314487,1665549,44964,6620,4496,1609469,51119,2246,48,48825
"서울시",구로구,1895191,572072,64822,1151225,244976,9278,2541,894430,107071,291,461,106320,1792927,591264,60223,1041316,223933,9452,1730,806200,100124,345,376,99403,1847794,616896,62663,1066868,218976,9337,1529,837026,101367,435,369,100563,1927165,610323,67451,1149980,225599,8864,1682,913835,99411,703,376,98332,1930280,615397,66318,1159278,215567,8404,1968,933338,89287,647,386,88254,1948592,636816,66555,1161055,208192,8234,1908,942720,84167,593,366,83208
"서울시",금천구,1613000,311918,27156,1020554,-,3787,1797,1014970,253371,209,15,253148,1582616,325789,24009,997714,-,4067,1960,991687,235104,213,14,234877,1641979,350111,27666,1035386,-,4403,2039,1028945,228816,184,15,228617,1691616,351324,30622,1095946,-,4277,1853,1089816,213725,137,16,213572,1706009,353894,29547,1122098,-,4267,1881,1115950,200470,59,14,200396,1757523,370171,29584,1164598,-,4403,2034,1158161,193170,53,14,193104
"서울시",영등포구,2652173,578211,156329,1806414,21388,91523,8636,1684867,111218,277,48,110893,2590582,604630,144981,1733205,21315,90443,8741,1612707,107766,263,49,107454,2714130,648263,156572,1800352,21368,93404,9635,1675944,108943,363,48,108532,2782101,646054,168626,1864559,21874,91032,10187,1741466,102861,425,50,102386,2811552,655186,169974,1889791,24382,88861,10152,1766395,96602,374,49,96179,2887691,684458,169398,1940264,23825,89762,10075,1816602,93572,362,38,93172
"서울시",동작구,1289443,512558,129562,631904,5894,25194,1284,599532,15419,161,-,15258,1249712,527017,115815,592503,5364,24209,1289,561641,14377,345,-,14033,1279134,551296,124252,588137,6032,23956,1444,556705,15449,382,-,15066,1298388,547648,135791,600493,5518,23299,1682,569994,14456,401,-,14055,1296936,546975,140160,597889,6934,22850,1668,566437,11913,382,-,11531,1327362,565966,142094,607164,8501,22914,1717,574032,12137,249,-,11888
"서울시",관악구,1710701,648595,253238,783973,-,9921,1740,772312,24895,203,-,24692,1669479,665998,236674,744879,-,10127,1674,733078,21928,199,-,21729,1711489,690781,252838,746035,-,10081,1763,734191,21835,315,-,21519,1735924,683802,264106,767003,-,9683,1860,755460,21013,306,-,20708,1755006,685905,273417,776407,-,9584,1874,764949,19276,215,-,19061,1787284,708465,280691,780271,-,9654,1819,768797,17857,194,-,17664
"서울시",서초구,3279210,677427,202788,2385550,396888,24525,12605,1951531,13446,3960,92,9394,3174237,702191,191976,2267316,392875,21003,12496,1840942,12754,4196,96,8461,3231515,735984,202185,2279004,386807,14513,13497,1864186,14343,6390,101,7852,3291898,717138,214716,2345569,384076,14294,14004,1933195,14476,6668,97,7711,3343073,736314,219291,2373313,385351,14859,13804,1959300,14154,6876,91,7187,3426654,772242,220371,2420465,377152,14809,13266,2015239,13576,6915,94,6567
"서울시",강남구,4586659,874585,127063,3568202,39563,64101,9865,3454672,16809,1069,-,15740,4456128,912317,118835,3411150,40455,46343,10194,3314157,13827,952,-,12875,4625790,960000,131378,3521016,46215,14901,11534,3448366,13396,1295,-,12100,4822166,962913,139137,3706584,52474,14843,12254,3627014,13531,1742,-,11788,4854697,995938,140190,3705645,48682,15575,12798,3628590,12925,1442,-,11483,4950512,1078858,144455,3714653,51556,16249,12759,3634089,12547,1438,-,11108
"서울시",송파구,2837244,918279,118192,1759015,54772,75216,4570,1624458,41757,1217,4,40535,2762267,955418,112064,1655533,53356,73518,5020,1523638,39252,1266,4,37981,2857546,1001250,119134,1697941,53587,74801,5512,1564041,39222,1315,5,37902,3084332,1000476,127645,1918535,55818,73457,6253,1783008,37677,1378,5,36294,2967033,1003092,129632,1798323,56773,73061,6464,1662024,35987,1247,4,34736,3057632,1045462,130348,1852760,58760,72660,7476,1713864,29062,1142,4,27916
"서울시",강동구,1520384,544419,71638,876286,-,130672,3199,742414,28042,1588,11,26442,1539776,611713,67475,836683,-,129873,2853,703957,23905,1685,10,22210,1623555,660411,73400,865719,-,132733,3219,729767,24025,1875,9,22141,1659003,659593,78327,897452,-,126848,3883,766721,23631,1929,9,21693,1684992,670721,79625,913107,717,123049,4052,785288,21540,1865,10,19665,1763794,738999,80861,923521,3677,124582,3871,791391,20412,1799,8,18605
